Name,Year,Genres
Barbarian,2022,Horror; Thriller
Pinocchio,2022,Fantasy; Adventure; Family
Fall,2022,Thriller
Bullet Train,2022,Action; Comedy; Thriller
Prey,2022,Action; Science Fiction; Thriller
Nope,2022,Horror; Science Fiction; Thriller
The Gray Man,2022,Action; Thriller
Thor: Love and Thunder,2022,Fantasy; Action; Comedy
Minions: The Rise of Gru,2022,Family; Comedy; Adventure; Animation
The Black Phone,2022,Horror; Thriller
Lightyear,2022,Animation; Science Fiction; Family; Adventure
Hustle,2022,Drama; Comedy
Jurassic World Dominion,2022,Adventure; Action; Science Fiction
The Bob's Burgers Movie,2022,Animation; Adventure; Music; Comedy; Crime; Drama; Mystery
Men,2022,Horror; Thriller; Fantasy
